Table: Total Coal Consumption (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,16.48681,17.00366,16.49711,17.1397,18.43818,18.83168,18.54233,19.42918,20.36408,20.59531,20.55542,20.4154,20.6121,21.25508,21.33798,21.58119,22.5529,23.15846,23.43312,23.41701,24.49048,23.59779,23.638,24.12736,24.22248,24.64341,24.26095,24.52227,24.08137,21.17627,22.35421,21.03609,18.68227
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,0.96156,0.99047,1.05584,1.11653,1.23682,1.20679,1.12583,1.25072,1.35809,1.35196,1.21338,1.26457,1.32379,1.22875,1.24492,1.28479,1.30032,1.44933,1.50985,1.505,1.61651,1.35444,1.36876,1.38766,1.43684,1.44948,1.42135,1.38369,1.37385,1.14856,1.15082,0.99674,0.96531
Greenland,,0.00005,0.00005,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,0.10239,0.10562,0.11967,0.12869,0.13071,0.14646,0.15609,0.17001,0.15967,0.17359,0.1694,0.15916,0.16584,0.19118,0.1836,0.20768,0.25067,0.26373,0.26753,0.28947,0.29444,0.32908,0.36525,0.41878,0.31944,0.39739,0.39244,0.38911,0.32008,0.33651,0.36942,0.38157,0.37785
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,15.42281,15.90753,15.32158,15.89444,17.07062,17.47843,17.2604,18.00845,18.84631,19.06976,19.17264,18.99167,19.12247,19.83515,19.90946,20.08873,21.00191,21.44541,21.65574,21.62254,22.57953,21.91427,21.90399,22.32093,22.4662,22.79654,22.44716,22.74947,22.38744,19.69121,20.83397,19.65778,17.33911
Central & South America,,0.42101,0.41588,0.41728,0.46662,0.52448,0.58887,0.60084,0.61695,0.67104,0.67432,0.5738,0.67426,0.64595,0.66304,0.66224,0.65327,0.71762,0.80402,0.82272,0.77043,0.76589,0.70253,0.71677,0.78689,0.81347,0.82811,0.85724,0.88249,0.9607,0.8505,1.04284,1.14726,1.13444
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
